mix,total_batches,min_batch_size,max_batch_size,mean_batch_size,median_batch_size,p05_batch_size,p95_batch_size,mode_batch_size,mode_frequency_percent,singleton_frequency_percent,oversized_frames
1024,1875062,9,338,53.77133396122368,17,13,173,14,16.445962853494976,0.0,0
2048,928730,11,672,108.561783295468,34,27,347,30,10.7758982696801,0.0,0
4096,462151,25,1343,218.1637278724919,68,55,697,59,7.1165052115001375,0.0,0
6144,307566,67,2015,327.81446908956127,104,83,1048,89,5.378682949350709,0.0,0
8192,230504,66,2684,437.4092640474786,229,111,1397,119,4.323569222226078,0.0,0
10240,184302,57,3354,547.0618061659667,298,139,1743,149,3.647817169645473,0.0,0
12288,153544,135,4024,656.6494620434534,365,167,2090,179,3.05515031521909,0.0,0
16384,115106,24,5365,875.9281444929022,496,222,2783,239,2.409952565461401,0.0,0
20480,92062,228,6703,1095.1813451804219,635,278,3477,2048,2.0301535921444245,0.0,0
40960,46010,118,13392,2191.3624212127797,1330,557,6899,4096,1.9647902629863072,0.0,0
